revision ;sentimiento
Uno de los otros críticos mencionó que después de ver solo un episodio de 1 Oz quedará enganchado. Tienen razón, ya que esto es exactamente lo que pasó conmigo.<br /><br />Lo primero que me llamó la atención de Oz fue su brutalidad y sus inquebrantables escenas de violencia, que comenzaron desde la palabra GO. Créame, este no es un espectáculo para pusilánimes o tímidos. Este programa no se anda con rodeos con respecto a las drogas, el sexo o la violencia. Es duro, en el uso clásico de la palabra.<br /><br />Se llama OZ porque es el apodo que se le da a la Penitenciaría Estatal de Máxima Seguridad de Oswald. Se centra principalmente en Emerald City, una sección experimental de la prisión donde todas las celdas tienen frentes de vidrio y miran hacia adentro, por lo que la privacidad no es una prioridad en la agenda. Em City es el hogar de muchos... arios, musulmanes, gangstas, latinos, cristianos, italianos, irlandeses y más... por lo que las peleas, las miradas de muerte, los tratos dudosos y los acuerdos turbios nunca están lejos.<br /><br / >Yo diría que el principal atractivo del programa se debe al hecho de que llega donde otros programas no se atreverían. Olvídese de los cuadros bonitos pintados para el público general, olvídese del encanto, olvídese del romance... OZ no pierde el tiempo. El primer episodio que vi me pareció tan desagradable que era surrealista, no podía decir que estuviera preparado para ello, pero a medida que veía más, desarrollé un gusto por Oz y me acostumbré a los altos niveles de violencia gráfica. No solo violencia, sino también injusticia (guardias corruptos que serán vendidos por cinco centavos, reclusas que matarán por orden y se saldrán con la suya, reclusas educadas de clase media que se convertirán en perras de prisión debido a su falta de habilidades callejeras). o experiencia en prisión) Al ver a Oz, es posible que te sientas cómodo con lo que es incómodo de ver... eso si puedes ponerte en contacto con tu lado más oscuro.;positivo
"Una pequeña producción maravillosa. <br /><br />La técnica de filmación es muy sencilla, al estilo de la BBC de antaño, y da una sensación de realismo reconfortante, y a veces incómoda, a toda la pieza. <br /><br />Los actores están muy bien elegidos: Michael Sheen no sólo ""tiene todos los polari"", sino que también tiene todas las voces. Realmente se puede ver la perfecta edición guiada por las referencias a las anotaciones del diario de Williams; no solo vale la pena verlo, sino que es una pieza excelentemente escrita e interpretada. Una producción magistral sobre uno de los grandes maestros de la comedia y su vida. <br /><br />El realismo realmente llega a casa con las pequeñas cosas: la fantasía del guardia que, en lugar de utilizar las técnicas tradicionales de ""sueño"", permanece sólida y luego desaparece. Juega con nuestro conocimiento y nuestros sentidos, particularmente con las escenas relacionadas con Orton y Halliwell y los decorados (particularmente de su departamento con los murales de Halliwell decorando cada superficie) están terriblemente bien hechos.,";positivo
"Pensé que era una manera maravillosa de pasar tiempo en un fin de semana de verano demasiado caluroso, sentado en el cine con aire acondicionado y viendo una comedia alegre. La trama es simplista, pero el diálogo es ingenioso y los personajes son agradables (incluso el sospechoso asesino en serie). Si bien algunos pueden sentirse decepcionados al darse cuenta de que esto no es Match Point 2: Adicción al riesgo, pensé que era una prueba de que Woody Allen todavía tiene pleno control del estilo que muchos de nosotros hemos llegado a amar.<br /><br /> Esto fue lo máximo que me había reído de una de las comedias de Woody en años (¿me atrevo a decir en una década?). Si bien Scarlet Johanson nunca me ha impresionado, en esto logró atenuar su imagen ""sexy"" y saltó directamente a una mujer joven promedio pero enérgica.<br /><br />Esta puede no ser la joya de la corona. de su carrera, pero fue más ingeniosa que ""El diablo viste de Prada"" y más interesante que ""Superman"", una gran comedia para ir a ver con amigos.,";positivo
Básicamente hay una familia donde un niño pequeño (Jake) piensa que hay un zombie en su armario y sus padres están peleando todo el tiempo.<br /><br />Esta película es más lenta que una telenovela... y de repente, Jake decide convertirse en Rambo y matar al zombie.<br /><br />OK, antes que nada, cuando vas a hacer una película debes decidir si es un thriller o un drama. Como drama, la película se puede ver. Los padres se divorcian y discuten como en la vida real. ¡Y luego tenemos a Jake con su armario que arruina totalmente toda la película! Esperaba ver una película similar a BOOGEYMAN, y en lugar de eso vi un drama con algunos puntos de suspenso sin sentido.<br /><br />3 de 10 solo por los buenos diálogos de padres y descendencia. En cuanto a las tomas con Jake: simplemente ignóralas. ;Negativo
"""El amor en tiempos de dinero"" de Petter Mattei es una película visualmente impresionante. Mattei nos ofrece un vívido retrato de las relaciones humanas. Esta es una película que parece decirnos qué le hacen el dinero, el poder y el éxito a las personas en las diferentes situaciones que encontramos. <br /><br />Al ser una variación de la obra de Arthur Schnitzler sobre el mismo tema, el director traslada la acción al Nueva York actual, donde todos estos diferentes personajes se encuentran y conectan. Cada uno está conectado de una forma u otra con la siguiente persona, pero nadie parece conocer el punto de contacto anterior. Con estilo, la película tiene un aspecto sofisticado y lujoso. Nos llevan a ver cómo viven estas personas y el mundo en el que viven en su propio hábitat.<br /><br />Lo único que se logra de todas estas almas en la imagen son las diferentes etapas de soledad que habita cada una. Una gran ciudad no es exactamente el mejor lugar para que las relaciones humanas se realicen sinceramente, como se ve que les pasa a la mayoría de las personas con las que nos encontramos.<br /><br />Las actuaciones son buenas bajo la dirección del Sr. Mattei. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier y el resto del talentoso elenco hacen que estos personajes cobren vida.<br /><br />Le deseamos buena suerte al Sr. Mattei y esperamos ansiosamente su próximo trabajo.";positivo
"Probablemente mi película favorita de todos los tiempos, una historia de altruismo, sacrificio y dedicación a una causa noble, pero no es sermoneadora ni aburrida. Nunca pasa de moda, a pesar de haberlo visto unas 15 o más veces en los últimos 25 años. La actuación de Paul Lukas me hace llorar y Bette Davis, en uno de sus pocos papeles verdaderamente comprensivos, es una delicia. Los niños, como dice la abuela, son más ""enanos disfrazados"" que niños, pero eso sólo los hace más divertidos de ver. Y el lento despertar de la madre a lo que está sucediendo en el mundo y bajo su propio techo es creíble y sorprendente. Si tuviera una docena de pulgares, todos estarían ""aptos"" para esta película. ";Positivo
"Seguro que me gustaría ver la resurrección de una serie actualizada de Seahunt con la tecnología que tienen hoy en día; me devolvería la emoción infantil. Crecí viendo televisión en blanco y negro y Seahunt con Gunsmoke era mi héroe todas las semanas. mi voto por el regreso de una nueva caza marina. Necesitamos un cambio de ritmo en la televisión y esto funcionaría para un mundo de aventuras submarinas. Ah, por cierto, gracias por un medio como este para ver muchos puntos de vista sobre la televisión y la muchas películas. Entonces, de cualquier manera, creo que tengo lo que quiero decir. Sería bueno leer algunos puntos positivos más sobre la caza en el mar. Si mis rimas fueran de 10 líneas, ¿me dejarían enviar o me dejarían fuera? Si tengo dudas y me pide que renuncie. Si esto es así, entonces debo irme, así que hagámoslo. .";Positivo
"Este programa fue una idea increíble, fresca e innovadora en los años 70 cuando se emitió por primera vez. Los primeros 7 u 8 años fueron brillantes, pero después todo decayó. En 1990, el programa ya no era realmente divertido y continuó su declive hasta convertirse en una completa pérdida de tiempo como lo es hoy.<br /><br />Es realmente vergonzoso hasta qué punto ha caído este programa. La escritura es terriblemente mala, las actuaciones son casi tan malas; si no fuera por el respiro ligeramente entretenido de los presentadores invitados, este programa probablemente no estaría todavía en el aire. Me resulta tan difícil de creer que el mismo creador que seleccionó personalmente al elenco original también eligió el grupo de hacks que siguió. ¿Cómo se puede reconocer tal brillantez y luego considerar oportuno reemplazarla con tal mediocridad? Sentí que debía darle 2 estrellas por respeto al elenco original que hizo que este programa fuera un gran éxito. Tal como está ahora, el espectáculo es simplemente horrible. No puedo creer que todavía esté al aire.,";negativo
"Alentado por los comentarios positivos sobre esta película aquí, tenía muchas ganas de verla. Mal error. He visto más de 950 películas y esta es realmente una de las peores: es horrible en casi todos los sentidos: edición, ritmo, argumento, ""actuación"", banda sonora (la única canción de la película, una tonta melodía country, no suena). menos de cuatro veces). La película parece barata y desagradable y es extremadamente aburrida. Pocas veces me he sentido tan feliz al ver los créditos finales de una película. <br /><br />Lo único que me impide darle a esto una puntuación de 1 es Harvey Keitel; aunque está lejos de ser su mejor actuación, al menos parece estar haciendo un poco de esfuerzo. Uno solo para los obsesivos de Keitel.,";negativo
Si te gustan las risas originales y desgarradoras, te gustará esta película. Si eres joven o mayor, te encantará esta película, y hasta a mi mamá le gustó.<br /><br />¡¡¡Gran campamento!!!, ;positivo
